Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
6,1,4,1,1434,1,1,0,1,0
5,1,2,7,4792,4,3,0,0,0
5,5,8,9,5186,4,3,0,1,0
3,3,3,33,3463,1,1,0,0,1
3,1,3,9,5539,0,1,0,0,0
4,2,3,2,4750,0,1,0,1,1
3,3,3,4,1399,0,1,0,0,0
3,2,2,7,5522,3,1,0,1,0
7,2,5,61,1856,0,3,1,0,1
3,5,2,1,5970,4,1,1,1,0
5,1,3,8,5727,3,2,1,1,1
4,1,2,2,5685,1,1,0,0,0
3,3,4,6,4015,2,1,0,0,0
5,5,3,9,3873,3,1,1,0,1
6,5,4,1,1957,0,1,1,0,1
4,2,3,5,4702,3,1,1,0,1
5,5,5,7,1137,2,1,0,0,0
3,3,2,1,5098,1,1,1,1,1
4,3,3,4,4666,2,2,1,0,0
2,2,3,28,1968,0,1,0,1,1
5,5,5,6,1300,3,2,0,0,0
3,1,3,8,5509,0,2,1,0,0
4,3,2,2,5879,0,1,1,1,0
4,4,5,5,1184,1,1,1,0,0
3,3,4,7,5147,4,1,1,0,0
3,3,2,10,5632,4,3,0,0,0
6,3,4,3,1772,0,1,1,1,1
5,2,3,2,4054,2,1,0,1,1
5,3,5,7,1303,4,2,1,0,1
3,3,3,2,4363,4,3,0,1,0
5,2,2,6,2059,3,1,2,0,1
5,1,4,2,5978,3,1,2,0,1
4,3,4,13,1583,4,1,1,1,1
6,2,4,2,1196,0,1,0,1,0
4,3,5,8,1753,4,3,1,1,1
4,1,6,9,1753,2,1,0,0,1
3,2,4,13,1790,4,1,0,1,1
5,5,2,19,1936,4,2,1,1,1
4,5,2,5,4127,1,1,1,1,0
6,4,4,8,1867,1,1,1,1,0
3,1,3,9,5797,2,1,1,0,0
5,3,3,2,4688,1,3,1,0,0
3,1,3,5,1556,2,1,1,1,1
3,5,3,9,4468,2,1,0,1,0
2,1,3,1,4391,0,1,2,1,0
3,1,10,4,4496,3,1,0,0,1
4,5,3,2,5439,3,1,1,0,1
3,5,8,9,4733,3,1,1,0,1
3,5,3,61,1473,1,1,0,1,1
6,3,5,1,1271,1,1,1,0,0
3,1,2,52,2312,0,3,2,1,1
4,5,3,4,5180,1,2,1,1,1
4,1,5,6,1027,2,1,1,1,0
4,1,2,10,4653,3,1,0,1,1
3,4,4,9,5301,1,3,1,0,0
3,4,3,60,2980,3,2,0,0,1
6,4,4,7,1969,4,1,0,1,0
3,3,2,26,1659,0,1,0,0,1
3,5,3,6,4172,1,1,0,0,1
5,2,2,10,4938,0,1,0,0,0
4,5,3,38,3031,4,1,0,1,1
3,4,2,2,4219,1,1,1,1,1
5,5,3,4,4534,0,1,0,1,0
2,5,6,41,1772,3,1,1,0,1
4,3,4,1,4984,2,2,1,1,1
7,3,4,3,1296,0,3,1,1,0
4,2,5,17,3630,0,1,1,0,1
3,2,4,18,2699,1,1,0,0,1
3,4,2,1,3398,2,3,1,0,1
3,2,3,38,2108,2,3,1,1,1
4,1,2,10,5085,1,1,0,1,1
4,4,6,6,5451,2,1,0,1,1
3,5,3,3,5540,0,1,0,0,0
4,2,2,5,5608,3,1,0,0,1
6,1,7,7,2338,4,1,1,0,1
4,1,3,1,5677,4,1,0,0,0
7,2,5,9,1327,0,2,1,1,0
3,5,3,2,5841,4,2,0,1,0
5,4,4,8,5284,0,1,2,0,1
5,4,5,8,1549,0,2,0,0,0
5,2,5,5,4805,0,1,1,0,0
3,3,3,9,5852,2,1,1,1,0
6,2,4,7,4589,3,3,1,0,0
3,4,3,4,4756,0,3,2,1,1
4,2,3,3,5488,2,1,0,0,1
4,2,3,6,5826,0,1,0,0,0
2,3,3,55,3842,1,1,1,0,1
3,2,3,6,4778,0,1,0,1,1
4,3,3,8,5944,0,1,0,1,0
5,5,2,10,5564,4,1,0,1,0
3,5,3,23,3750,1,2,0,1,1
3,5,2,6,5289,0,1,0,0,0
6,1,4,5,1867,4,1,0,1,0
6,2,4,10,1983,0,1,1,0,1
3,5,6,22,2717,3,2,1,1,1
3,4,3,5,5915,2,3,1,0,0
4,2,3,48,1193,1,2,0,0,1
5,1,5,2,1950,4,1,0,0,1
4,2,2,28,2815,4,2,0,0,1
4,3,5,2,1482,0,1,1,1,0
4,3,3,15,1008,4,1,0,0,1
4,1,2,10,4086,2,2,0,1,0
5,2,2,6,4819,0,2,1,0,1
4,4,3,2,5975,0,1,0,1,1
4,2,2,8,4460,0,2,0,0,0
3,2,3,1,5398,0,1,2,0,0
3,2,3,5,5781,0,1,2,0,1
5,3,3,6,5064,4,3,1,0,1
4,3,3,6,5657,0,1,1,0,1
6,1,4,2,1131,4,2,1,0,0
4,4,3,7,4106,1,1,0,0,1
4,1,3,4,4972,0,2,1,0,1
5,4,10,34,2960,2,1,1,0,1
5,4,3,6,5721,0,1,1,0,0
5,3,6,1,5874,0,1,1,0,0
6,4,4,9,1108,0,1,1,0,1
5,3,3,5,5663,1,1,1,0,0
5,5,5,6,1887,0,1,0,1,1
5,1,5,2,1323,1,1,2,0,0
4,1,3,7,4808,0,1,0,0,1
2,3,4,7,5510,1,1,1,1,0
6,4,4,9,1104,3,1,0,1,0
3,3,3,24,1139,2,3,0,0,1
4,3,2,47,3606,0,1,1,0,1
4,2,3,10,5354,1,1,1,0,0
6,5,4,6,1066,0,1,0,1,0
4,1,4,2,4543,0,1,1,0,0
3,4,3,10,2728,4,3,0,0,1
3,1,3,4,2304,3,1,0,1,1
3,2,3,1,4308,2,1,0,1,1
3,2,2,10,5401,2,3,0,1,0
3,2,2,4,1009,3,1,2,0,1
4,2,4,10,5528,1,1,0,0,1
5,3,2,3,4474,1,1,0,1,1
3,1,2,5,4884,1,3,0,0,0
5,5,6,1,1384,3,1,0,1,0
5,1,3,12,1775,4,1,2,0,1
4,1,2,47,1540,1,3,0,0,1
3,3,4,7,1869,3,1,0,1,1
4,4,3,59,2868,2,3,1,1,1
4,5,4,10,1694,0,1,0,1,1
6,4,4,4,1973,3,1,0,1,0
2,5,3,3,4253,3,1,1,0,1
4,4,7,9,5418,0,1,1,1,0
3,4,4,11,3030,2,1,0,1,1
2,2,3,61,1800,1,3,0,0,1
3,3,3,23,3764,4,1,1,1,1
3,3,6,45,1602,3,3,0,1,1
6,1,5,3,1434,3,2,0,0,0
3,3,2,8,5955,3,1,0,1,1
4,3,6,6,4998,4,1,1,1,0
3,3,3,8,4950,0,1,1,0,0
4,2,6,8,5227,3,3,0,1,0
3,4,2,5,4693,3,2,0,0,1
4,1,2,5,5324,1,3,0,1,1
6,4,3,7,5192,2,1,0,0,1
3,4,2,1,5745,2,1,1,1,0
5,3,2,3,4456,3,2,0,1,0
3,3,3,9,1257,0,1,1,1,1
2,1,3,3,5922,0,1,1,0,0
4,3,3,7,5156,0,3,0,1,1
3,2,4,38,1322,3,1,1,0,1
3,3,2,36,3340,2,1,2,1,1
3,1,2,1,4970,2,1,0,0,1
5,3,4,6,5107,2,1,0,1,0
4,1,3,5,4782,3,1,2,1,0
5,5,3,27,2019,1,1,1,0,1
5,4,5,2,1409,1,1,0,1,0
5,2,4,6,5486,1,1,0,1,0
6,5,4,6,1761,3,1,2,0,0
3,2,4,49,3179,2,2,1,0,1
6,4,4,1,1872,1,1,1,0,0
6,2,4,10,1556,0,1,0,1,0
4,3,2,10,5709,0,1,2,1,1
3,5,4,3,5215,0,1,1,0,1
3,1,3,8,3617,0,1,0,0,1
6,1,5,14,3213,1,1,0,1,1
5,2,3,17,3889,4,2,0,1,1
4,5,3,3,4430,4,1,1,0,1
5,3,3,58,3411,4,1,0,1,1
5,1,4,4,1837,3,1,1,1,0
4,5,4,5,4643,1,1,0,0,0
2,5,3,13,2171,4,1,1,0,1
3,2,3,15,1862,3,3,0,1,1
5,1,3,8,5845,3,1,0,1,0
2,4,3,3,4811,0,1,1,1,0
6,3,4,3,5756,1,1,0,1,0
3,5,2,2,4906,0,2,0,0,1
6,1,4,6,1866,0,2,0,0,1
4,5,3,6,5154,0,1,0,1,1
4,1,2,7,5967,2,1,1,0,0
5,5,5,4,1667,4,2,0,0,0
3,1,2,9,4626,1,1,0,1,1
4,1,2,2,4581,1,3,1,1,1
5,3,3,4,4446,4,1,1,0,1
3,4,2,37,2537,0,1,0,0,1
3,2,4,8,4867,1,1,1,1,1
5,2,3,5,4972,3,1,2,1,0
4,1,3,2,4983,3,1,1,1,0
6,4,4,5,1327,2,1,0,0,0
6,3,4,2,1189,3,3,0,0,0
4,1,3,53,2021,3,1,0,0,1
4,5,8,39,1411,1,1,0,1,1
5,2,2,4,3617,4,1,0,0,1
4,2,3,22,1294,0,1,0,1,1
5,2,2,2,4075,1,3,0,1,0
3,2,2,7,5141,4,1,0,1,1
4,4,5,9,1947,1,1,0,1,1
4,1,2,17,3544,1,2,0,1,1
6,1,3,10,1278,2,2,1,1,1
4,1,3,3,4673,3,1,0,0,1
3,1,3,7,5331,2,3,1,1,0
4,3,4,19,3838,4,2,0,0,1
6,4,3,14,1651,2,3,1,0,1
6,1,4,8,1806,0,1,1,1,1
3,1,2,2,4352,0,1,2,1,0
4,2,3,5,5978,0,1,1,0,0
4,5,3,3,5857,1,3,1,1,1
4,2,3,4,4743,3,1,1,1,1
3,4,3,8,5867,4,3,1,1,1
4,3,3,10,4068,3,3,0,0,0
7,1,4,3,1450,3,2,1,0,0
5,3,5,7,1349,0,1,0,1,0
2,5,7,12,1064,2,3,0,1,1
4,1,3,2,4282,2,1,0,1,0
6,3,4,8,1850,4,1,1,0,1
3,1,6,3,2497,4,1,1,0,1
4,2,3,2,5769,2,1,1,1,0
3,2,2,5,5393,4,1,0,0,1
3,5,7,16,1052,2,1,1,0,1
4,3,3,1,4914,3,3,0,0,1
7,4,4,9,1228,0,1,0,0,0
2,2,3,20,1823,4,1,0,0,1
5,1,5,6,1059,2,1,1,0,1
4,3,3,35,1512,0,3,0,0,1
3,3,2,19,3097,0,3,0,1,1
5,1,3,6,4735,3,1,1,0,0
7,2,4,1,1085,1,2,0,0,1
4,1,2,8,5276,0,2,1,0,1
3,3,3,7,4068,1,1,1,0,1
4,4,3,10,4347,3,2,0,1,1
3,5,3,4,4081,4,3,1,1,1
5,2,5,4,1072,1,1,0,0,1
5,4,2,1,5008,4,1,0,0,1
2,5,8,14,1396,0,1,0,1,1
2,2,3,1,4149,2,3,2,0,0
3,3,3,1,5896,1,1,1,0,1
3,4,2,58,1319,1,1,1,0,1
4,1,3,61,3812,1,3,1,0,1
4,5,4,65,1818,4,1,0,1,1
5,5,5,3,1687,3,3,1,0,0
4,2,3,4,4186,0,1,1,0,1
3,4,2,1,4427,0,2,1,0,0
3,5,3,8,4523,1,3,1,0,0
3,1,3,11,1481,4,1,0,0,1
6,3,4,8,1741,3,3,1,0,0
4,1,4,2,4053,4,2,0,1,0
5,5,3,1,4314,2,1,1,1,0
5,4,2,1,3709,4,1,1,0,1
4,4,3,10,4533,3,3,0,0,0
3,3,3,7,4439,3,1,0,0,0
4,2,2,9,4334,1,1,0,1,0
3,1,2,10,4412,0,2,1,0,1
3,3,2,1,5220,0,1,1,0,1
6,1,5,8,4292,1,2,0,0,1
4,2,5,9,1438,3,3,1,0,0
4,3,3,9,5994,3,1,0,0,1
4,3,3,2,4351,4,2,1,0,0
3,3,6,5,5777,2,1,0,1,1
5,5,4,3,5447,1,3,0,1,0
3,2,2,7,5357,4,1,1,1,0
5,3,3,4,4134,3,3,0,1,1
3,2,2,58,1537,2,1,0,0,1
2,1,3,5,5982,1,3,0,0,1
6,3,4,5,1490,3,2,0,0,1
4,4,3,27,3967,1,3,2,0,1
3,2,2,8,5492,2,1,0,0,0
5,4,2,2,5962,2,3,1,0,0
3,2,8,9,4908,3,2,0,0,0
3,4,2,9,5841,0,1,1,0,0
7,2,4,6,1513,2,2,1,0,0
4,5,3,16,2332,4,1,0,1,1
6,3,4,4,1716,0,1,1,1,0
6,1,4,2,1326,2,1,1,1,1
4,5,6,1,1625,4,1,0,0,0
5,2,3,63,1807,3,1,1,1,1
3,1,3,4,4495,3,2,1,0,1
4,3,2,52,1570,3,3,2,0,1
7,4,3,33,1694,2,1,0,0,1
5,3,4,9,1729,0,1,0,1,0
4,2,5,38,3022,2,1,2,0,1
4,4,2,10,4508,0,1,0,0,1
4,3,2,10,4195,0,1,0,0,0
3,2,3,8,5783,0,3,1,1,0
4,5,3,4,4809,4,1,1,0,0
4,1,2,2,5396,0,3,2,1,0
3,1,5,4,1171,2,1,0,1,1
4,1,2,65,1861,0,1,2,0,1
3,5,2,8,5241,0,3,1,0,1
4,3,3,57,3599,3,1,1,1,1
5,5,5,10,5418,3,2,0,0,1
4,5,5,2,1996,3,2,0,1,0
4,4,3,2,5572,1,3,0,1,1
2,3,3,10,5997,1,3,0,1,0
4,2,4,7,5507,3,2,0,1,1
4,1,4,22,3950,3,1,0,0,1
3,1,4,18,1613,3,1,0,1,1
5,1,2,37,1671,4,1,0,1,1
4,2,2,1,4977,0,1,0,0,0
4,4,2,3,4407,0,1,1,0,0
4,5,2,19,1940,4,1,1,0,1
5,3,5,9,5431,4,1,1,1,1
5,3,3,3,5944,0,1,0,0,1
3,5,7,7,4373,1,1,0,0,1
4,2,2,5,4268,2,2,1,1,0
4,2,4,9,5038,1,1,1,1,0
4,4,2,9,4446,3,2,2,0,1
5,4,4,7,5740,2,1,0,0,0
4,2,3,33,3602,4,2,1,1,1
6,1,4,2,1790,2,1,1,0,1
3,2,3,7,1933,1,2,0,1,1
4,3,4,61,3583,2,1,0,1,1
5,5,5,4,1646,4,1,0,1,0
4,2,5,33,2854,3,1,0,1,1
5,1,2,4,5580,1,3,0,1,0
2,4,6,16,3605,0,1,1,0,1
7,2,5,10,1722,4,1,0,0,1
4,1,3,2,5835,0,1,0,1,1
4,5,5,4,5824,1,3,2,1,1
3,1,3,35,2258,4,1,1,1,1
2,1,3,3,4120,4,1,0,1,1
4,5,5,1,5999,0,1,0,0,1
6,3,3,8,4651,4,1,0,0,1
4,4,4,65,2280,4,3,0,1,1
4,1,2,5,5182,1,1,1,0,0
5,2,3,48,1517,3,2,0,1,1
4,3,10,7,5317,0,1,2,1,0
4,1,4,7,5264,4,1,2,1,0
4,2,3,9,4163,1,1,0,0,0
3,4,10,5,5479,0,1,0,1,0
4,4,5,4,1668,4,2,1,0,0
5,4,3,46,3709,0,1,1,1,1
5,2,2,8,4047,0,1,1,1,1
3,4,3,46,3223,0,1,1,0,1
4,4,3,9,4469,0,1,1,1,0
4,3,3,1,4360,2,1,0,0,1
4,1,5,6,4001,0,3,1,1,1
